iter	Passed	Remaining
0	3	389
1	6	306
2	9	311
3	11	273
4	14	269
5	16	254
6	18	239
7	20	231
8	23	239
9	27	251
10	29	241
11	32	234
12	33	226
13	37	227
14	40	231
15	42	225
16	44	218
17	46	211
18	48	206
19	50	201
20	52	198
21	54	194
22	57	193
23	59	189
24	61	185
25	63	181
26	65	177
27	68	175
28	70	172
29	73	170
30	75	169
31	77	165
32	79	162
33	81	158
34	83	155
35	85	152
36	87	149
37	89	145
38	91	142
39	93	140
40	95	138
41	97	134
42	98	131
43	101	129
44	103	126
45	107	126
46	110	124
47	113	123
48	116	121
49	119	119
50	121	116
51	123	114
52	126	111
53	129	110
54	131	107
55	133	104
56	135	102
57	137	99
58	139	97
59	142	95
60	146	93
61	147	90
62	149	87
63	151	85
64	153	82
65	155	79
66	157	77
67	159	75
68	162	72
69	164	70
70	167	68
71	170	66
72	177	65
73	179	63
74	181	60
75	183	58
76	185	55
77	189	53
78	192	51
79	194	48
80	196	46
81	198	43
82	201	41
83	203	38
84	205	36
85	206	33
86	208	31
87	210	28
88	212	26
89	214	23
90	215	21
91	219	19
92	221	16
93	223	14
94	225	11
95	227	9
96	233	7
97	237	4
98	239	2
99	241	0
